course_identifier,course_name,subject_code,subject_name,school_code,school_name,section,call_number,instructors,enrollment_count,enrollment_max,enrollment_status,days_times,mil_time_from,mil_time_to
AFASW4033,HARLEM AND HAITI,AFAS,,SAS,,001,11354,Edwidge Danticat,9,12,O,R 2:10PM-4:00PM,14:10,16:00
AFASW3943,Senior Pro Seminar,AFAS,,SAS,,001,13522,Farah Griffin,6,12,O,W 12:10PM-2:00PM,12:10,14:00
AFASC3930,TOPICS IN THE BLACK EXPERIENCE,AFAS,,SAS,,002,19851,Nyle Fort,1,12,O,M 12:10PM-2:00PM,12:10,14:00
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,001,11366,Farah Griffin,1,3,O,,,
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,002,11367,Brandi Summers,1,3,O,,,
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,003,19931,Frank Guridy,,3,O,,,
AFASW3007,Listening to Hip Hop,AFAS,,SAS,,001,20055,Ellie Hisama,8,12,O,M 2:10PM-4:00PM,14:10,16:00
AFASW3002,Image Matters: Writing With Photographs from the African Diaspora,AFAS,,SAS,,001,13373,Edwidge Danticat,8,12,O,T 2:10PM-4:00PM,14:10,16:00
AFASC1010,INTRO-AFR-AMER STUDIES - DISC,AFAS,,SAS,,001,20195,Nyle Fort,28,30,O,T 10:00AM-10:50AM,10:00,10:50
AFASC1010,INTRO-AFR-AMER STUDIES - DISC,AFAS,,SAS,,002,20196,"Jennifer M Harley, Nyle Fort",30,30,F,W 1:10PM-2:00PM,13:10,14:00
AFASC1010,INTRO-AFR-AMER STUDIES - DISC,AFAS,,SAS,,003,20197,"Abdul-Qadir Islam, Nyle Fort",32,30,F,R 2:00PM-2:50PM,14:00,14:50
AFASC1010,INTRO-AFR-AMER STUDIES - DISC,AFAS,,SAS,,004,20198,"Dane Peters, Nyle Fort",14,30,O,F 10:10AM-10:50AM,10:10,10:50
AFASW1002,Major Debates in African-American Studies,AFAS,,SAS,,001,11353,Jafari S Allen,13,12,F,W 12:10PM-2:00PM,12:10,14:00
AFASG6999,THESIS RESEARCH-GRADUATE,AFAS,,SAS,,001,11348,Brandi Summers,,6,O,,,
AFASG6100,AF-AM: PRO SEMINAR,AFAS,,SAS,,001,11344,Brandi Summers,,10,O,W 2:10PM-4:00PM,14:10,16:00
AFASG5555,Fieldwork/Internship Course in African American and African Diaspora Studies,AFAS,,SAS,,001,11370,,,5,O,,,
AFASW4998,INDEPENDENT STUDY-GRADUATE,AFAS,,SAS,,001,11368,Farah Griffin,,3,O,,,
AFASW4998,INDEPENDENT STUDY-GRADUATE,AFAS,,SAS,,002,11369,Brandi Summers,,3,O,,,
AFASW4998,INDEPENDENT STUDY-GRADUATE,AFAS,,SAS,,003,19930,Frank Guridy,1,3,O,,,
AFASG4990,AFR-AMER RESEARCH-WRITING,AFAS,,SAS,,001,11346,Rachel Grace Newman,2,12,O,R 2:10PM-4:00PM,14:10,16:00
AFASG4080,TOPICS IN THE BLACK EXPERIENCE,AFAS,,SAS,,001,11903,Rachel Grace Newman,13,15,O,T 12:10PM-2:00PM,12:10,14:00
AFASG4080,TOPICS IN THE BLACK EXPERIENCE,AFAS,,SAS,,002,11356,Jafari S Allen,5,12,O,T 12:10PM-2:00PM,12:10,14:00
AFASG4080,TOPICS IN THE BLACK EXPERIENCE,AFAS,,SAS,,004,18168,Guthrie Ramsey,2,12,O,W 12:10PM-2:00PM,12:10,14:00
AFASC1001,INTRO TO AFRICAN-AMER STUDIES,AFAS,,SAS,,001,11355,Nyle Fort,110,100,F,MW 2:40PM-3:55PM,14:40,15:55
AFRSBC3516,Environmental Humanities in the Global South,AFRS,,BCOL,,001,00745,Yvette Christianse,9,20,O,T 2:10PM-4:00PM,14:10,16:00
AFRSBC3160,Fanon’s Psychology of the Oppressed,AFRS,,BCOL,,001,00166,Colin Leach,12,20,O,W 2:10PM-4:00PM,14:10,16:00
AFRSBC3145,Black Women’s Histories in the United States,AFRS,,BCOL,,001,00219,Celia E Naylor,11,15,O,W 12:10PM-2:00PM,12:10,14:00
AFRSBC3110,THE AFRICANA COLLOQUIUM,AFRS,,BCOL,,001,00165,Celia E Naylor,2,15,O,W 4:10PM-6:00PM,16:10,18:00
AFRSBC3021,Queer Caribbean Critique,AFRS,,BCOL,,001,00115,Maja Horn,8,16,O,T 10:10AM-12:00PM,10:10,12:00
AFRSBC3010,Black Fashion and Dress Cultures,AFRS,,BCOL,,001,00220,Monica L Miller,21,20,F,T 10:10AM-12:00PM,10:10,12:00
AFRSBC2004,INTRODUCTN TO AFRICAN STUDIES,AFRS,,BCOL,,001,00113,Abosede A George,11,40,O,MW 11:40AM-12:55PM,11:40,12:55
AFENBC3815,SHANGE & DIGITAL STORYTELLING,AFEN,,BCOL,,001,00112,Kim F Hall,10,12,O,W 4:10PM-6:00PM,16:10,18:00
AFRSBC3998,SENIOR SEMINAR,AFRS,,BCOL,,001,00114,Monica L Miller,3,999,O,T 4:10PM-6:00PM,16:10,18:00
AFRSBC3550,QUEER HARLEM,AFRS,,BCOL,,001,00407,Maleda Belilgne,11,16,O,W 4:10PM-6:00PM,16:10,18:00
AFENBC3516,WATER WORLDS IN LITERARY IMAGINATION,AFEN,,BCOL,,001,01058,Yvette Christianse,9,20,O,R 2:10PM-4:00PM,14:10,16:00
AHISW3317,Shaping Renaissance Rome,AHIS,,SAS,,001,12343,Michael J Waters,12,12,F,T 2:10PM-4:00PM,14:10,16:00
AHISC3002,SENIOR THESIS,AHIS,,SAS,,001,12747,Branden W Joseph,6,12,O,M 2:10PM-4:00PM,14:10,16:00
AHISW3000,INTRO LIT/METHODS OF ART HIST,AHIS,,SAS,,001,12746,Zoe S Strother,5,12,O,M 10:10AM-12:00PM,10:10,12:00
AHISW2415,History Painting and Its Afterlives,AHIS,,SAS,,001,12318,Jonathan K Crary,19,25,O,TR 4:10PM-5:25PM,16:10,17:25
AHISV2412,18TH CENTURY ART IN EUROPE,AHIS,,SAS,,001,12316,Frederique Baumgartner,44,60,O,TR 10:10AM-11:25AM,10:10,11:25
AHISW2406,TWENTIETH CENTURY ART-DISC,AHIS,,SAS,,001,20247,Julia M Carabatsos,13,12,F,T 4:10PM-5:00PM,16:10,17:00
AHISW2406,TWENTIETH CENTURY ART-DISC,AHIS,,SAS,,002,20248,Julia M Carabatsos,11,12,O,T 5:10PM-6:00PM,17:10,18:00
AHISW2406,TWENTIETH CENTURY ART-DISC,AHIS,,SAS,,003,20249,Mitra Kazemi,12,12,F,W 11:10AM-12:00PM,11:10,12:00
AHISW2406,TWENTIETH CENTURY ART-DISC,AHIS,,SAS,,004,20250,Mitra Kazemi,12,12,F,W 12:10PM-1:00PM,12:10,13:00
AHISW2406,TWENTIETH CENTURY ART-DISC,AHIS,,SAS,,005,20251,Heather P Nickels,1,12,O,R 10:10AM-11:00AM,10:10,11:00
AHISW2406,TWENTIETH CENTURY ART-DISC,AHIS,,SAS,,006,20252,Heather P Nickels,11,12,O,R 11:10AM-12:00PM,11:10,12:00
AHISW2406,TWENTIETH CENTURY ART-DISC,AHIS,,SAS,,007,20253,Carolina Luna,,12,O,R 11:10AM-12:00PM,11:10,12:00
AHISW2406,TWENTIETH CENTURY ART-DISC,AHIS,,SAS,,008,20254,Carolina Luna,15,15,F,R 12:10PM-1:00PM,12:10,13:00
AHISW2406,TWENTIETH CENTURY ART-DISC,AHIS,,SAS,,009,20255,Juul G Van Haver,4,12,O,M 9:10AM-10:00AM,09:10,10:00
AHISW2406,TWENTIETH CENTURY ART-DISC,AHIS,,SAS,,010,20256,Juul G Van Haver,13,12,F,M 10:10AM-11:00AM,10:10,11:00
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,001,12687,Alexander Alberro,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,002,12693,Zainab Bahrani,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,003,12694,Barry G Bergdoll,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,004,12695,Diane Bodart,1,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,005,12696,Julia Bryan-Wilson,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,006,12697,Gregory Bryda,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,007,12698,Zeynep Celik Alexander,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,008,12699,Michael Cole,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,009,12700,Jonathan K Crary,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,010,12702,Francesco De Angelis,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,013,12703,Noam M Elcott,1,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,015,12705,Meredith Gamer,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,016,12709,Anne Higonnet,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,017,12730,Elizabeth Hutchinson,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,018,12731,Kellie Jones,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,019,12732,Branden W Joseph,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,020,12733,Subhashini Kaligotla,1,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,021,12734,Holger A Klein,1,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,022,12735,Rosalind Krauss,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,023,12736,Janet L Kraynak,1,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,024,12737,Matthew P Mckelway,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,025,12738,Ioannis Mylonopoulos,2,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,026,12739,Eleonora Pistis,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,027,12740,Jonathan Reynolds,,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,029,12741,Avinoam Shalem,1,998,O,,,
AHISG9001,RESEARCH FOR ADVANCED STUDENTS,AHIS,,SAS,,030,12742,Zoe S Strother,1,998,O,,,
