course_identifier,course_name,subject_code,subject_name,school_code,school_name,section,call_number,instructors,enrollment_count,enrollment_max,enrollment_status,days_times,mil_time_from,mil_time_to
AFASW4005,"Frantz Fanon: Disenchantment, Existential Self-Revision, and Resistance",AFAS,,SAS,,001,15975,Vivaldi Jean-Marie,9,17,O,W 12:10PM-2:00PM,12:10,14:00
AFASG4004,Turn the TV Off: Black Performance Studies,AFAS,,SAS,,001,15974,Johanna F Almiron,17,17,F,R 12:10PM-2:00PM,12:10,14:00
AFASW3940,SENIOR THESIS SEMINAR,AFAS,,SAS,,001,11372,Kellie Jones,9,15,O,T 2:10PM-4:00PM,14:10,16:00
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,001,10505,Frank Guridy,,5,O,,,
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,002,10506,Brandi Summers,,5,O,,,
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,003,10507,Jafari S Allen,,5,O,,,
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,004,11748,Nyle Fort,,3,O,,,
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,005,11750,Rachel Grace Newman,,3,O,,,
AFASC3901,INDEPENDENT STDY-UNDERGRADUATE,AFAS,,SAS,,006,11752,Farah Griffin,,3,O,,,
AFASC3011,Spirit of Justice,AFAS,,SAS,,001,17123,Nyle Fort,18,18,F,M 10:10AM-12:00PM,10:10,12:00
AFASW3004,Introduction to Black Geographies,AFAS,,SAS,,001,10496,Brandi Summers,15,15,F,W 2:10PM-4:00PM,14:10,16:00
AFASC3001,SING A BLACK GIRL'S SONG:  THE NON FICTION WRITING OF NTOZAKE SHANGE,AFAS,,SAS,,001,10540,Edwidge Danticat,3,16,O,R 2:10PM-4:00PM,14:10,16:00
AFASW1003,Blackness and Frenchness: A Radical Genealogy,AFAS,,SAS,,001,10536,Veronique Charles,18,18,F,M 12:10PM-2:00PM,12:10,14:00
